id,code,name,state_id:id,country_id:id,location_type,active,parent_id:id
res_country_location_1400,VNL001,Quận Ba Đình,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1401,VNL002,Quận Hoàn Kiếm,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1402,VNL003,Quận Tây Hồ,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1403,VNL004,Quận Long Biên,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1404,VNL005,Quận Cầu Giấy,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1405,VNL006,Quận Đống Đa,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1406,VNL007,Quận Hai Bà Trưng,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1407,VNL008,Quận Hoàng Mai,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1408,VNL009,Quận Thanh Xuân,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1409,VNL016,Huyện Sóc Sơn,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1410,VNL017,Huyện Đông Anh,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1411,VNL018,Huyện Gia Lâm,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1412,VNL019,Quận Nam Từ Liêm,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1413,VNL020,Huyện Thanh Trì,base.state_vn_VN-HN,base.vn,dist,TRUE,
res_country_location_1414,VNL021,Quận Bắc Từ Liêm,base.state_vn_VN-HN,base.vn,dist,TRUE,
